date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:02:15	320/320	U-----	200	untouched ('OK')	text/plain	etag:%225d5debdebf8aedbdccb09f631fc1d3ce%22	https://developer.mozilla.org/robots.txt		(from )
13:02:15	89654/89654	U-----	200	untouched ('OK')	text/html	etag:W/%221d64d11f8184887a4d3a59e1b7deeccb%22	https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA	ARIA.docset/Contents/Resources/Documents/developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA.html	(from )
13:02:15	763/763	---M--	200	added ('OK')	image/png	etag:%22cbbd161ba4740677c61b6c0b5cb5f08e%22	https://developer.mozilla.org/favicon-48x48.cbbd161b.png	ARIA.docset/Contents/Resources/Documents/developer.mozilla.org/favicon-48x48.cbbd161b.png	(from https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA)
13:02:16	2171/2171	---M--	200	added ('OK')	image/png	etag:%226803c6f0940b2fd696541abde27fd0d1%22	https://developer.mozilla.org/apple-touch-icon.6803c6f0.png	ARIA.docset/Contents/Resources/Documents/developer.mozilla.org/apple-touch-icon.6803c6f0.png	(from https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA)
13:02:17	381/381	---M--	200	added ('OK')	application/json	etag:%2256b1cedc9ecbfcce035cadcf95b49ea0%22	https://developer.mozilla.org/manifest.56b1cedc.json	ARIA.docset/Contents/Resources/Documents/developer.mozilla.org/manifest.56b1cedc.json	(from https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA)
13:02:18	429/429	---M--	200	added ('OK')	application/opensearchdescription+xml	etag:%220f548493246c411f4ed0716d1c91edeb%22	https://developer.mozilla.org/opensearch.xml	ARIA.docset/Contents/Resources/Documents/developer.mozilla.org/opensearch.xml	(from https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA)
13:02:19	71960/71960	---MCZ	200	added ('OK')	text/html	etag:W/%22ec996dd5e54ad59329c87977c5189dfc%22	https://developer.mozilla.org/es/docs/Web/Accessibility/ARIA	ARIA.docset/Contents/Resources/Documents/developer.mozilla.org/es/docs/Web/Accessibility/ARIA.html	(from https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA)
13:02:21	64193/64193	---MCZ	200	added ('OK')	text/html	etag:W/%22b8dc341b3097a366d0013d2ed743e739%22	https://developer.mozilla.org/fr/docs/Web/Accessibility/ARIA	ARIA.docset/Contents/Resources/Documents/developer.mozilla.org/fr/docs/Web/Accessibility/ARIA.html	(from https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA)
13:02:22	65967/65967	---MCZ	200	added ('OK')	text/html	etag:W/%22867263513b2d906c5df29bf7e7a26679%22	https://developer.mozilla.org/ja/docs/Web/Accessibility/ARIA	ARIA.docset/Contents/Resources/Documents/developer.mozilla.org/ja/docs/Web/Accessibility/ARIA.html	(from https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA)
13:02:23	62815/62815	---MCZ	200	added ('OK')	text/html	etag:W/%2295937d82b3e5aa9b864cd966ef8cab88%22	https://developer.mozilla.org/ko/docs/Web/Accessibility/ARIA	ARIA.docset/Contents/Resources/Documents/developer.mozilla.org/ko/docs/Web/Accessibility/ARIA.html	(from https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA)
